CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,IRQ_DS,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF24,AF35
P61,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
P62,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
P63,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
P64,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
P65,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
P66,6,6,,,,,,,,,,,,,,,,,,,,CTX2,,,,,
P67,6,7,,IRQ15,,,,,,,,,,,,,,,,,,CRX2,,,,,
P70,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
P71,7,1,,,,,,,,,,,,,,,,,,,,,ET_MDIO,,,,
P72,7,2,,,,,,,,,,,,,,,,,,,,,ET_MDC,,,,
P73,7,3,,,,,,,,,,,,,,,,,,,,,ET_WOL,,,,
P74,7,4,,,,,,,,,,,,,,,,,,,,,ET_ERXD1,RMII_RXD1,,,
P75,7,5,,,,,,,,,,,,,,,,,,,,,ET_ERXD0,RMII_RXD0,,,
P76,7,6,,,,,,,,,,,,,,,,,,,,,ET_RX_CLK,REF50CK,,,
P77,7,7,,,,,,,,,,,,,,,,,,,,,ET_RX_ER,RMII_RX_ER,,,
P80,8,0,,,,,MTIOC3B,,,,,PO26,,,,SCK10,,,,,,,ET_TX_EN,RMII_TXD_EN,,EDREQ0,
P81,8,1,,,,,MTIOC3D,,,,,PO27,,,,RXD10/SMISO10/SSCL10,,,,,,,ET_ETXD0,RMII_TXD0,,EDACK0,
P82,8,2,,,,,MTIOC4A,,,,,PO28,,,,TXD10/SMOSI10/SSDA10,,,,,,,ET_ETXD1,RMII_TXD1,,EDREQ1,
P83,8,3,,,,,MTIOC4C,,,,,,,,,,CTS10#/RTS10#/SS10#,,,,,,ET_CRS,RMII_CRS_DV,,EDACK1,
P84,8,4,,,,,,,,,,,,,,,,,,,,,,,,,
P85,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
P86,8,6,,,,,,,TIOCA0,,,,,,,,,,,,,,,,,,
P87,8,7,,,,,,,TIOCA2,,,,,,,,,,,,,,,,,,
P90,9,0,AN014,,,,,,,,,,,,,TXD7/SMOSI7/SSDA7,,,,,,,,,,,
P91,9,1,AN015,,,,,,,,,,,,,SCK7,,,,,,,,,,,
P92,9,2,AN016,,,,,,,,,,,,,RXD7/SMISO7/SSCL7,,,,,,,,,,,
P93,9,3,AN017,,,,,,,,,,,,,,CTS7#/RTS7#/SS7#,,,,,,,,,,
P94,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
P95,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
P96,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
P97,9,7,,,,,,,,,,,,,,,,,,,,,,,,,
